"","team2","Season","team1","Margin","Won","Team.x","Conference.x","Team.y","Conference.y","Rank.x","AdjEM.x","AdjOE.x","AdjDE.x","AdjT.x","Luck.x","SOS.x","OppAdjOE.x","OppAdjDE.x","NonConSOS.x","eFGPct.x","TOPct.x","ORPct.x","FTRate.x","OppeFGPct.x","OppTOPct.x","OppORPct.x","OppFTRate.x","FGPct3.x","FGPct2.x","FTPct.x","BlkPct.x","StlPct.x","AssistPct.x","PctFGA3.x","OppFGPct3.x","OppFGPct2.x","OppFTPct.x","OppBlkPct.x","OppStlPct.x","OppAssistPct.x","OppPctFGA3.x","PctPtsFrom1.x","PctPtsFrom2.x","PctPtsFrom3.x","OppPctPtsFrom1.x","OppPctPtsFrom2.x","OppPctPtsFrom3.x","WinPct.x","SRS.x","PPG.x","FGMPG.x","FGPCT.x","FGM3PG.x","ORBPG.x","TRBPG.x","AstPG.x","StlPG.x","BlkPG.x","TOPG.x","ASTtoTO.x","OppFGMPG.x","OppFGPCT.x","OppFGM3PG.x","OppORBPG.x","OppTRBPG.x","OppAstPG.x","OppStlPG.x","OppBlkPG.x","OppTOPG.x","OppASTtoTO.x"
"2",1103,2011,1323,13,1,"notre dame","BE","akron","MAC",-1.99401780808838,2.09802374451093,2.75180526319448,-0.336750415324992,-0.967116020134102,0.70136277995818,2.19646659618188,1.73896652932831,-1.95351448928577,0.145831262697465,1.45948512628832,-0.337112169581894,1.29931582164101,2.93103316165999,0.0577318269519718,-1.9314560969389,-1.38007569688531,-2.29421718140991,0.959592484639951,1.36091134126372,0.468597752863969,2.13787544891736,-0.723133099552329,1.7533915991295,-0.0132162222042307,1.59638121069383,-0.870244718763934,1.88032306494279,0.221383334976763,-1.35278733600855,0.984658489291899,0.679010400972966,2.28772994742839,-0.622278167538212,-0.51285973346001,-1.94320855700352,-0.352652587718769,1.89788420677225,1.50700755849623,2.07597654606614,0.990970101512665,0.000654762759229599,1.33160553886278,0.0424840916022915,0.485530641076651,0.875893708196302,1.15621109053191,-1.60778468915861,0.110248622936362,-0.794957001395616,1.72809478997025,0.500659130765875,-0.27044195311161,1.66185079423457,-0.601360735385014,-1.93300567044624,1.12270132917227,-1.00410348584707,1.77355348739259,-2.118514772758,3.05812293273065
"5",1104,2004,1393,-9,0,"syracuse","BE","alabama","SEC",0.0528187567899029,-0.0579459233574915,-0.424418494663165,-0.39621641565381,0.553777708198272,1.88358285508237,-0.437787967286121,-0.363050592813203,0.385447641841168,-2.46954993108408,-0.521954530860073,-0.335174013645527,1.30933537372828,-0.883836539567713,-1.41703918363273,0.0310394832149701,1.94475779846229,0.266854596361719,-1.95717083358489,0.650496550844193,-1.81875112710855,-1.80716289953894,2.12355423970632,1.53849266179464,-1.94596546500122,-3.33967681087665,0.302197932309498,-1.58077601971756,2.42527993300864,1.03365731618184,2.34128689749384,-0.820041458863288,-1.25930239523477,2.97167383653801,-2.15801316107016,0.332037742248544,1.63763746967339,-2.00044573099197,1.30943071652122,-0.199060092150361,0.152885118579432,1.34869344179053,0.571471935774675,-1.99658156240899,NA,1.07252216207135,1.65533956370688,0.82103416434541,2.53007886112405,0.0150196188280799,1.18452031876927,0.138266939641261,-0.68844569614351,NA,NA,1.26498002328611,NA,NA,NA,NA,NA
"10",1105,2005,1324,10,1,"oakland","MCon","alabama a&m","SWAC",-1.55824130268056,1.07556041234254,2.63834650533205,1.23743623740398,-2.07450988250787,-0.122135454658531,2.62226420583271,3.32955569839831,-0.996017075241935,3.48866281252243,2.07667799564942,-1.01787916810297,0.577418562123437,-0.737647339975128,3.39899415931182,-2.2556702338731,0.0165930681259794,0.542427381840641,1.39216993659385,1.98859336631189,1.43025334110931,-1.61170558936634,-0.585948468510722,0.219444569700999,-0.260302269650566,3.48366588138895,2.36387454976784,1.94732412440559,-0.685799967698198,-2.46652766519429,2.17847393764806,3.17046574260956,-0.912523638405233,0.586109330914848,-0.122508739606519,-0.00503430423097462,-2.92346088316872,3.11599163124023,-1.67946366602621,1.05213318958601,0.210498654128952,0.765778440302594,2.1247267053573,0.0401848035034102,NA,-1.75588511109064,0.807944780360877,-2.47576892984483,-1.19311675737298,-1.77301996147574,1.70412987802876,0.374073331858067,2.46214782869079,NA,NA,-3.43961955817218,NA,NA,NA,NA,NA
"16",1110,2014,1458,40,1,"wisconsin","B10","american","Pat",-2.17747951909063,2.40977240976874,3.09134039482847,-0.488804141508902,0.645843829644853,0.215207820302006,2.75745681838497,2.15980682317744,-2.52560427601236,2.64847798118407,-0.947274508843919,-4.81976982058204,0.411794596041969,1.59200886537635,0.404125586748946,-1.78792724970282,-0.768863664071033,-2.37087314953566,-0.155772385884734,-1.31528228967167,1.05382639718591,0.26267216703965,-4.01405028535487,-3.04441056397778,0.511849372042383,1.11238064853696,0.0790498535101934,1.91563080095849,-0.652871030012264,-1.33265212746595,-2.18945323002807,-1.68619502966579,2.11586450698223,-1.41875341356804,0.331316346986952,-2.11372722293718,2.17390623727586,-0.683422044560579,1.79592588177543,2.47365053218881,2.04894152416306,0.865456377461754,-1.33190817019706,1.15412658858324,1.03610035955303,1.09630120593233,-1.46831389868152,-0.955898815983871,-0.0231458618683142,-3.63694594258164,2.34041684521426,2.09165854769807,0.768288685957875,-0.108867639298508,-0.292728363221285,1.07133141266417,-0.446419530455375,-3.34450406060721,0.687572287905591,-1.24281115275776,0.828807239169796
"24",1112,2013,1326,3,1,"ohio st.","B10","arizona","P12",-0.144810652231558,0.411524676655078,-0.00102285698365689,-0.689898365350991,-0.689754504729615,0.665594222751589,0.504669952968576,0.345200464946176,-0.497100104498676,-1.22621742064186,-0.745862327251335,-1.53148739060407,-0.793485295055433,-0.421143251186127,-0.455509291427217,0.361317441986872,0.570138017373841,-0.607285062425307,-0.614273807038658,-0.428880089290286,-1.20984376581452,-1.22409307090803,-1.98730688065762,-0.218506147758701,-1.29463253437966,-1.59737977413113,0.128732812266437,0.233629395649911,0.838019408942092,0.202689387545888,-0.255632429797682,1.40415662543837,-0.550505501889586,1.48648211577717,-1.12682708080126,-0.464100198220291,-0.477676039525301,0.867700575396453,0.0429083796576585,0.387463419965583,-0.675856951597054,-0.0388825333459712,-0.175623744793749,-1.27619869951748,-0.389997331412913,-0.219161257560507,-0.181450555819159,-0.0128786130307853,0.398011891622022,-1.6004217313743,1.17822474754477,-0.763725853107154,-0.680776326012217,0.202484597910717,0.461386052743132,0.899330124126441,-0.674105536111444,-2.06448812113588,-0.606568973399437,0.0455537053277445,-0.549008752814211
"30",1114,2011,1421,0,1,"unc asheville","BSth","arkansas little rock","SB",-1.01691234324499,0.56580902686978,-0.103989934097107,-1.08581971437304,1.13949546186037,-1.03027596679445,-0.158201055180819,-0.400409058189706,-0.197894324765171,1.12217286021317,0.381856878268126,1.57757804826822,0.7547003726613,-0.192156190768551,-1.1006613427854,1.39472238053894,1.67705915868386,-0.938710934570214,-2.76527683578897,2.32144977295072,0.224189829656669,-0.89768881192014,3.71118777001787,0.902123903394486,-1.12325086726306,0.0479174187805763,-1.40322300293472,-0.993404048858272,1.41930981727587,2.08487434521788,-0.148800520223944,-0.435169851498869,-0.328985755476582,2.47146929092377,-2.1369058050948,-0.721860839814667,0.268238200733993,0.228655869897302,0.538786370655142,0.330988846689908,1.0546230302378,1.50510277006255,1.15293190455262,-1.42203527389682,0.763899921909727,0.71290368340164,1.32781377604901,2.39654356401384,1.55368623260756,1.8537055406322,-0.236594762699382,0.627175269758965,-0.778951340267925,0.274697188767466,1.89647467183842,0.736902210022954,0.10468287406287,3.72626675976908,-0.0142099409094064,2.01005601578996,-1.22729437075936
"32",1115,2010,1181,29,1,"duke","ACC","arkansas pine bluff","SWAC",-4.34574730260971,4.42711460129277,4.43495286423286,-2.17750091374776,-0.197174655950402,-1.0311732343647,3.71360562922586,3.44721859365275,-2.72084151248217,-1.55736217825104,2.19221074165393,-3.69860244900904,1.20985577018751,-2.27499351947049,-0.74287433526153,0.373666088929654,1.5324395881096,-3.51228088710624,3.11727878110579,0.837762474261631,2.53395394488657,-1.02395778306236,-2.65877162263164,-1.07003449163836,1.29911693161483,-1.83982817053557,-0.0585691706205885,1.02427475499831,-0.166579050389108,0.0291128920197421,-1.55220202371694,-1.52861917182207,-2.09001432606884,-1.11840382562834,1.99011060827467,-2.615561140803,3.02997758901673,-1.2353901162644,3.45672529957271,4.39494270110195,2.62958708930258,2.46803997156539,1.4805622729751,2.63801031848117,1.28863237102694,0.38476253275138,0.799356675567932,-0.088578569850194,0.354633679484896,-3.38168794000166,2.61452497360985,0.890098161459214,-0.164529782744297,-1.25940075002757,1.72259441694111,0.304237760083929,-0.499606309483411,-2.74844130854122,-0.803638902373565,0.209661029144283,-0.511562509485713
"34",1122,2008,1400,20,1,"texas","B12","austin peay","OVC",-2.97690532103147,2.79810812364127,2.4778895218068,-1.82269475829135,-0.436558171284845,-0.85647979100306,3.11943306823755,1.79448416406329,-3.56101217011905,-0.0817807267941585,-0.0877683400744586,-1.91934931197296,1.61543619477024,-2.6374423888811,-3.6284671338147,-2.42866179270571,0.175063753395694,-0.289545888455008,-0.118009485302944,0.01518066430698,-0.876005768880143,-1.4173489798227,-2.63934635122831,-2.04484049617972,-0.546937311086591,-1.98435488586413,-3.49487948988832,-0.424021996623814,2.42358169174955,-2.78378739182481,-0.78180520608476,-0.409655059339535,-2.64002557368805,1.38721345314758,-0.0479319489071288,0.531637066735772,-0.316156957384174,-0.0340948456794856,1.24889786090665,2.63608799960413,0.262762614060647,1.37051278298529,0.253234057130192,0.170309792970986,NA,2.12947935200827,-0.654739256569906,-2.61986671969498,2.39975477399418,-1.91329038121327,1.28209527222009,-1.39183328137125,-3.753119987361,NA,NA,0.534740712484505,NA,NA,NA,NA,NA
"36",1124,2008,1345,11,1,"purdue","B10","baylor","B12",-0.172575692738699,0.339953567044127,-0.843721024890752,-1.55624145962626,-1.03213808089242,0.0115785374819353,-0.192032572124132,-0.275776746483046,0.0430754663125585,0.729883261552591,-1.18311610187314,0.719961494045334,0.240799563284348,0.255536781908927,0.382190876747282,2.57512317991132,-0.718659483601243,0.586626965556352,0.113914532360224,-1.74173789845697,-0.869023044699864,-0.639372191333677,1.17772023564909,2.60628942980709,-0.463239099716067,-0.0971470349391866,0.475663052352559,-1.6974603212523,0.740800203200363,1.28410922939583,1.77067293090223,0.36511552858429,0.373123192013301,-0.0891788391064375,-0.0830602005947747,0.0273726288861659,-0.18757725547553,0.13912929383982,0.727093997341599,0.173537125460816,-2.36908416313946,-2.22387911448548,-1.35933337387824,-0.99943969475706,NA,-1.46549540432185,0.601183498753544,0.769833543475469,-0.03161490427297,0.177040653498361,0.319968075066748,-2.40420228079086,0.298301578456158,NA,NA,-1.91356637881799,NA,NA,NA,NA,NA
"38",1124,2012,1160,-17,0,"colorado","P12","baylor","B12",1.41630103808352,-1.4975168766279,-1.94211002726327,0.260154610510453,-0.297877413582599,0.575197634095299,-0.731518153019679,-0.670225385635567,0.564760506354922,0.546880793502298,-1.10064078882802,-0.333235857709162,-2.26956614813841,1.56561025066797,-0.252722385305149,-1.07039351515608,-1.20385258268831,-0.249195921212222,-1.34437165149911,-0.69523412611255,-2.02278434055194,1.62426913447407,-0.30239387934055,-1.19996518421977,-0.0755248307689727,-0.242518767739631,-0.288059144890044,-1.37943679071216,-1.07271728152002,-1.28902584229031,-1.53339950940106,0.500784782042053,1.05753707786071,-0.0475762925618837,-0.439989081959619,-0.397026974505928,-0.242495476237191,0.575477911483215,-1.34057859494757,-1.19661685520788,-1.48941491824378,-1.63712278245559,-0.963848698021745,-1.04521684811658,-1.50900030568338,-0.229152930258686,-1.84979585064481,-1.27793978444606,-1.17436851149454,-0.381682152854261,-1.01580453531341,-0.350530458843751,-0.593042418703476,0.28400841789796,-0.77216482720472,0.690983648755478,-1.47200411471826,-0.540667769135203,1.00932935235404,-0.913775069597227,-0.31990987064514
"39",1124,2012,1246,12,1,"kentucky","SEC","baylor","B12",-0.251081469506781,1.33355226881605,1.08870262843904,-0.941393733169005,-0.140452759797299,-0.578448879652122,-0.20590411704542,-0.315185955865883,0.0488661470238527,0.834015662388919,0.584641038337943,-1.54978935296636,-0.111602977929422,1.25407094365556,-2.35317099057315,-1.39449715045659,-0.5107195839925,-1.34988741585507,-0.117627584290629,0.935762962611089,-0.934543534152404,-0.319296960962303,-1.59216752123677,-1.58914836026746,-0.947175607596576,-0.871686209976498,-2.36414916114418,0.25649578509309,2.58920613475177,-1.17554542399984,-1.80762841215022,-1.15741049862101,0.584907116633775,0.939587823516469,-1.1283431889829,-0.688004722545373,0.855868938996014,-0.35333951566703,1.55899050605863,1.10814746217281,0.503604449875004,0.486230842799632,0.948164069337295,-0.970303440511676,-0.0830461801329482,0.784596242135723,-0.983385472559174,-1.11311018330812,3.04148410181744,-1.42522696673613,0.372366820087996,-0.533181205745124,-2.06697188626049,-0.727196272381502,0.718181339586763,0.396853977983293,-1.74103371101694,-1.6186159666317,0.128011347445555,-1.31523652737119,-0.173335420097879
"41",1124,2014,1458,17,1,"wisconsin","B10","baylor","B12",-0.411889664449917,0.746445175307916,0.618802276019642,-0.60441973130572,0.017462101891937,0.125346221134306,0.151521418774408,-0.171933835691658,-0.476832722009146,0.654119832257603,0.770378762042832,-2.46475290903546,-3.09742625078263,-0.565338813385806,-0.608351812471242,-0.288188232740898,-1.58287083357872,-0.93047350014138,-0.194299088491158,1.05308790258566,1.82739759027108,0.26267216703965,-1.26464241710175,-1.5175951440932,0.807941625447205,-0.677852965144227,-0.179944321201382,2.30981837558235,-2.01119659759334,-0.211580965315075,-4.54779417941671,-2.07601283916376,-0.0468045873095675,-0.447194543131168,0.415593746074526,-0.40674905444107,2.14838558692521,-1.92810507136486,0.994999449679791,0.513535369314824,-0.297282227802809,-0.432889934423774,0.20255058824451,0.273750325286357,-2.85801763926565,-1.68972560809935,-1.41670399626821,-0.370031152125482,-1.60608918655855,-2.18526855109795,1.22936544779622,-0.147007128104366,0.209542750991633,-2.19729793246757,-1.56009212512045,0.0835095962466499,-3.64711372240337,-1.31229727766104,-0.108113089725591,-0.385479548549957,-2.88888119409554
