"","team2","Season","team1","Margin","Won","Team.x","Conference.x","Team.y","Conference.y","Rank.x","AdjEM.x","AdjOE.x","AdjDE.x","AdjT.x","Luck.x","SOS.x","OppAdjOE.x","OppAdjDE.x","NonConSOS.x","eFGPct.x","TOPct.x","ORPct.x","FTRate.x","OppeFGPct.x","OppTOPct.x","OppORPct.x","OppFTRate.x","FGPct3.x","FGPct2.x","FTPct.x","BlkPct.x","StlPct.x","AssistPct.x","PctFGA3.x","OppFGPct3.x","OppFGPct2.x","OppFTPct.x","OppBlkPct.x","OppStlPct.x","OppAssistPct.x","OppPctFGA3.x","PctPtsFrom1.x","PctPtsFrom2.x","PctPtsFrom3.x","OppPctPtsFrom1.x","OppPctPtsFrom2.x","OppPctPtsFrom3.x","WinPct.x","SRS.x","PPG.x","FGMPG.x","FGPCT.x","FGM3PG.x","ORBPG.x","TRBPG.x","AstPG.x","StlPG.x","BlkPG.x","TOPG.x","ASTtoTO.x","OppFGMPG.x","OppFGPCT.x","OppFGM3PG.x","OppORBPG.x","OppTRBPG.x","OppAstPG.x","OppStlPG.x","OppBlkPG.x","OppTOPG.x","OppASTtoTO.x"
"1",1102,2006,1228,9,1,"illinois","B10","air force","MWC",-0.612323011531983,0.904120662216815,0.0245066006967622,-1.48004877599127,2.07252786965802,-0.477268224884996,1.09784096704624,1.01575126666133,-0.774261650021989,0.784156090757492,-2.21711218694815,-0.22772967487562,3.2433886875404,-0.259534804321958,-1.51431636397752,-1.42547926944722,-2.19702273091604,1.20493527453436,-1.57839612473002,-1.70583849372109,-2.99492765821801,-2.9035638674559,0.930005451586221,-1.2119231205938,-2.69618255174185,-0.53300616743995,-1.61599343460104,-1.8020393268315,-0.0389782688500666,-2.43663440077252,-0.258390827459809,-0.217766506245273,-0.437734092212368,2.76764832655955,-2.37821723615992,1.2679933434416,-0.72157245280892,-0.260843952418693,0.0564786101037139,0.898791588750131,1.1245105036407,1.84342101323497,-1.11551677240231,-1.35454649764135,NA,3.64630127379912,0.420534542817811,-1.39923001570048,0.165538131920891,0.89826616996836,-0.521322603047986,0.277888592077457,-1.20496218276067,NA,NA,0.121025783057823,NA,NA,NA,NA,NA
"3",1103,2013,1433,46,1,"vcu","A10","akron","MAC",-0.817123355552297,0.956994621716151,1.16300984895059,-0.261663201976937,0.287840340079502,-1.91487267252736,0.998587617026455,0.982167253286168,-0.69167897788281,0.0392842514520468,0.0628668947802409,-1.7796066398187,-0.242386606489843,-1.49792942354863,2.39791000781853,3.3675084998118,1.51333046870981,0.967096211413209,0.850695644536199,-0.551362949704299,1.68911573358268,0.263222517354128,-1.49082269530247,-1.22422931051972,-0.224006829572431,0.192917856025193,2.75519805814502,-1.48401579629135,-1.78422115025297,3.78739016796713,0.152803714385118,0.855979176605131,-0.781168876114254,0.0551869434148294,0.310208991011587,-0.0857948932682693,0.0417879277220292,0.02302711544604,-0.471418716085453,1.12743492593262,1.0002843184065,1.12176134830064,-0.187725478002363,0.610582628945379,0.501193057973642,-0.909283962521116,-0.147744116560849,3.5800233844557,-2.18234177126989,-1.29539755310328,0.890133215827485,0.36598375680473,2.46079215764865,0.14507279810359,0.237512934737437,1.10379768305883,0.429791508265706,-1.01695951867279,1.12429524608679,3.3645300771906,-1.47725010019706
"4",1104,2004,1356,-1,0,"southern illinois","MVC","alabama","SEC",0.302926132928449,-0.29426619772423,-1.03058102580363,-0.70629340757109,0.42783798517003,0.918286792559013,-1.622270301876,-1.22106254808993,1.51396655287789,-1.66216079480883,-0.757110134650674,-0.52982257288668,0.581347798236089,-2.17153234188567,-0.302515433898685,2.21873902149343,0.211925301722769,0.923718875422771,-1.53547756048197,0.131542931704854,-0.47937782692449,-2.45501826468439,1.69362969240758,1.28552359736364,-0.602170517391999,-1.93614943973287,0.921382673999328,-0.225289028336066,-0.296857827759779,3.18978526370085,1.2865603484586,-1.78732203925007,-1.90379779690786,1.70552855722012,-0.702635906220936,0.877621019822505,1.8298512423392,-2.63900771215776,2.24477558781354,-0.522439627763823,-0.255907923419542,0.798740600170334,-0.349663496272754,-0.749635810017656,NA,0.120227859976097,1.17176167826373,2.71228000966013,-0.290657416579814,-0.467312119894401,1.20266490826062,-0.8593061827683,0.487412137012969,NA,NA,0.176399400695746,NA,NA,NA,NA,NA
"6",1104,2004,1390,-3,0,"stanford","P10","alabama","SEC",-0.322342307417916,0.665337340613434,-0.511013141968945,-1.69466381930742,0.207443469870614,1.03600582457406,-1.36316479118446,-0.925196356615199,1.38499296304512,-2.39563402424198,0.497053085565861,1.02736590104254,0.971341142249762,-0.863067252433552,-1.75996956816628,0.760272662641122,-1.13968404573406,-0.0882071761037159,-0.538748005875074,1.20651828563634,1.27854962956708,-2.39023272816985,1.52165987348809,2.55036891951862,-1.45566190303569,-1.40377698860937,-1.26397523784714,-0.131807166861486,0.90217904305488,-0.0444066575776627,-0.569758377843433,-0.875314634885391,-0.48590791322706,1.96304963097969,-1.58766261525087,0.404782179258405,0.539273054440185,-0.868449491652606,3.31079363965405,0.403850906451008,0.265687327759933,0.949156502619886,1.29068946076639,-1.43188291499091,NA,0.651395053069389,2.23075074951062,-0.0486158094003558,0.766589111057613,0.876057136781885,0.970029641669546,-1.44754902940655,-1.52566593571759,NA,NA,-1.77669335217564,NA,NA,NA,NA,NA
"7",1104,2006,1266,-5,0,"marquette","BE","alabama","SEC",-0.404396549756378,0.266581303153182,-0.130449682554062,-0.626010483874425,1.47489576080625,-0.423710172412477,-0.124847581662963,0.219542781236346,0.488692350015949,-1.19766964575366,0.64768832042056,0.212167739353336,-1.12362105430864,-2.28181229478416,-0.699856700710332,0.925791493875601,1.42417308330967,1.71834712313444,1.88251479263868,-0.690076205673103,0.662428676790314,-0.634694213660604,-0.20616902556443,1.49070363496358,1.14195609588594,-0.871468553961011,-0.291518360601032,0.235899605750595,-1.65531402928386,0.59315911538168,1.48893284072163,-0.252471092241599,-2.09395049297735,-1.09354082758104,1.9860183581714,1.92584838859022,-0.489306799706404,-0.978167291926666,0.579538012569871,0.0179169118132993,0.914284618817057,1.16514531561839,-0.0228378619990388,2.19906908288781,NA,-0.267948907338506,1.81965802487731,0.889891748406404,-1.52082970696697,0.815030777364728,0.729341742631203,-0.435001171474026,-0.82329748667696,NA,NA,1.59968885076914,NA,NA,NA,NA,NA
"8",1104,2006,1417,3,1,"ucla","P10","alabama","SEC",-1.00882270875786,1.2011205699671,-0.113130753092904,-2.11825600747633,-0.477169946131467,0.329691632483798,-0.219236017700594,-0.165083267680809,0.262988567808604,0.172617550319126,0.922036524842928,0.893437696697369,-0.395633478816456,-0.661807898319634,-1.38571746977744,1.73605058212688,-0.689882562712544,1.29227299617592,0.00406293972568383,1.27453392392582,-0.509522960870732,-1.60647726137879,-1.66791248638015,1.70475438178981,0.706130707472136,-1.1618535273011,-0.765012574834432,0.89027263607269,-1.88215884268123,-0.484904858377826,-0.599425726368155,-2.98849330533565,-1.10572421041195,-0.041996443062797,0.55030836352284,1.81673173307542,1.78979936190249,-3.30021085980228,2.37404581993614,0.841438525811988,-0.546130479711674,-0.196686422952094,0.764235238312615,0.324667111110188,NA,-1.0956317343955,0.884162344601248,-0.458571069836024,-1.66748166123445,0.588293635230229,0.268621522826205,-2.03691338755755,-0.441430534041051,NA,NA,-1.45464564726943,NA,NA,NA,NA,NA
"9",1104,2012,1166,1,1,"creighton","MVC","alabama","SEC",0.0674828064822956,-0.0702259354756111,2.16432062770683,2.61852213433024,1.15404359182661,3.29027578908497,-0.703168356261438,-0.799538672905369,0.319118523200887,-1.36826464094233,3.37378738957252,-1.11520344772355,-0.537418968492304,0.377739935753507,2.66434346358782,-2.36269184071053,-1.78493100414137,-1.55161482798015,5.15174694950605,1.28828837843101,0.409054659480069,-0.446391457576238,0.733490389105206,2.22275941176562,1.44517043612946,3.5318713275202,1.40064224775105,1.20796011599586,-2.04497465590882,-2.41711828901419,-0.0903985851691101,-0.68593976838862,-0.624246718363775,-2.28319516616469,2.42839869097422,-1.97634008219674,0.883328049376844,0.61140687913009,1.88548002361069,-0.149490411725285,2.86951289564111,2.15436422265904,2.37818647008981,3.1788909079674,-0.721388863212001,0.26644273416655,2.98873788634453,-1.83843476205446,-1.46386161909264,-0.449511781917738,2.58357885899584,3.12615392243972,2.55636557580343,1.70001088054277,-1.39199052952159,-0.879331393413142,1.89476612650484,1.24727517455257,-0.714306627684499,-1.65915234000926,3.21516077458055
"11",1106,2009,1287,15,1,"morehead st.","OVC","alabama st.","SWAC",-0.51208241819306,0.259436082907373,0.0345615015921408,-0.390025782046957,0.350810201593623,-0.259800795161669,1.60744623897884,2.11033732667649,-0.506575432657766,-1.00065719536901,-1.30887412733159,2.00735540334785,1.62133004893922,1.33553971288528,2.45462980693891,-0.183873935790631,-2.26560106465486,0.871670557052019,0.0464086524552587,-1.77117215262073,2.67396101789459,2.00885472620275,0.289260542561316,-0.217766921989844,-0.542928724421352,3.19319128498366,1.15202572017244,0.656231931769244,0.80430666759812,0.382668070860766,2.00271277168999,2.0715971583456,2.720441424481,-0.815877296756883,-0.45692817542477,0.231022820013036,-2.40885028613717,2.35197410637008,-1.43257811380641,0.230075746461357,0.146197920290035,-0.751101310820257,-1.26727039378324,-0.348983505699265,NA,1.176569562742,-0.593815305892309,0.655452833078447,-0.770290621019818,1.26052513805268,-1.03065385125325,0.111724687470647,1.23244441987653,2.36271619664936,NA,-1.76247928879083,NA,NA,NA,-0.08952692108895,NA
"12",1107,2006,1163,13,1,"connecticut","BE","albany","AE",-2.53641347472841,2.51430330931813,1.80153719092213,-2.11516069067291,1.79911701641838,1.15498440224101,2.6371566719086,2.22400282770324,-2.16763691007052,-0.123144458075763,0.106149607193586,-0.734088232454208,1.9882707637698,0.130641771392311,-2.45275708776022,-1.22627100933494,-0.167092949167642,-2.02469913342629,-0.539129906887387,0.797049706642284,-0.176921159350456,-1.28612685585018,0.966899873922931,0.0924707801950183,-2.06204389894337,-1.79114900248826,-1.96926557015732,1.01023529955905,3.88245763061902,-0.531577463251762,-1.33820069169013,-1.43629006532901,-0.0224215798117924,2.28163972939162,-2.09757128469347,-1.26185848534498,1.72744797097836,-0.83252052400573,2.2320606587635,2.82988616675916,2.62007803315428,2.94142928822331,1.16491429509467,-1.16685967115876,NA,3.36351438308655,1.81888464310129,0.0333452626977883,4.89036091374727,0.27076233015053,1.03996391880222,1.32797722746191,-2.01089425470215,NA,NA,1.13575098013902,NA,NA,NA,NA,NA
"13",1107,2007,1438,27,1,"virginia","ACC","albany","AE",-1.61935309555374,1.40019031900746,0.941059000384855,-1.26167513369953,1.603959466515,-2.33632323551852,2.44798727857754,2.25324765618299,-1.84085992495513,0.122731793529887,-0.401309145128591,-0.670497483331402,0.610490743393788,2.10735973931889,-1.04971383577072,-0.983193282859556,0.608582739751451,-0.504182599207117,-0.231107236542163,-0.59434562003301,0.596161012829199,-0.700030100489629,-2.22990169256231,-0.823588135054757,0.567129262927156,0.193199528515824,-1.53968895516184,-0.277578531125671,0.285216384232037,-1.41959514942509,0.937419013003539,0.541611242409257,2.31545692785382,-1.30010993761045,0.106563947352266,-0.270896679104637,-0.852090614747748,1.06301051587042,-0.499145031528628,1.83894475481117,1.77934550261087,0.594992064190275,-0.736373885409745,0.833184966268364,NA,1.74741558974219,-0.217606024724153,-0.924931743989534,0.557143626677742,0.316385292797825,-0.327274878855209,1.05205128481474,-1.44008525719517,NA,NA,1.50215774963192,NA,NA,NA,NA,NA
